Vehicle_Make,Calendar_Year,count,per_1K,prop_num_change,rank,previous_rank
Audi,2019,67,2.0,5.7,14.0,
Audi,2022,446,7.7,5.7,16.0,14.0
Audi,2023,621,23.400000000000002,5.7,12.0,16.0
BMW,2019,157,4.7,18.5,13.0,
BMW,2020,118,3.0,18.5,14.0,13.0
BMW,2021,447,8.200000000000001,18.5,12.0,14.0
BMW,2022,1336,23.2,18.5,12.0,12.0
BMW,2023,505,19.099999999999998,18.5,14.0,12.0
Chevrolet,2019,4766,141.8,-43.20000000000002,3.0,
Chevrolet,2020,3886,99.6,-43.20000000000002,4.0,3.0
Chevrolet,2021,4765,87.4,-43.20000000000002,5.0,4.0
Chevrolet,2022,5676,98.6,-43.20000000000002,3.0,5.0
Chevrolet,2023,3475,131.1,-43.20000000000002,2.0,3.0
Chrysler,2019,323,9.6,24.799999999999997,11.0,
Chrysler,2020,597,15.299999999999999,24.799999999999997,11.0,11.0
Chrysler,2021,981,18.0,24.799999999999997,9.0,11.0
Chrysler,2022,1982,34.4,24.799999999999997,8.0,9.0
Chrysler,2023,484,18.3,24.799999999999997,15.0,8.0
Ford,2019,1303,38.800000000000004,45.1,8.0,
Ford,2020,1177,30.200000000000003,45.1,8.0,8.0
Ford,2021,2110,38.699999999999996,45.1,6.0,8.0
Ford,2022,4829,83.9,45.1,4.0,6.0
Ford,2023,574,21.7,45.1,13.0,4.0
Honda,2019,590,17.6,-17.3,10.0,
Honda,2020,676,17.3,-17.3,10.0,10.0
Honda,2021,244,4.5,-17.3,14.0,10.0
Honda,2022,19,0.3,-17.3,21.0,14.0
Honda,2023,1,0.0,-17.3,21.0,21.0
Hyundai,2019,4208,125.2,96.09999999999998,4.0,
Hyundai,2020,7639,195.8,96.09999999999998,2.0,4.0
Hyundai,2021,10788,197.9,96.09999999999998,2.0,2.0
Hyundai,2022,12738,221.29999999999998,96.09999999999998,1.0,2.0
Hyundai,2023,3435,129.6,96.09999999999998,3.0,1.0
Jeep,2022,2593,45.0,,7.0,
Jeep,2023,991,37.400000000000006,,8.0,7.0
Kia,2019,2370,70.5,-13.399999999999999,6.0,
Kia,2020,2804,71.9,-13.399999999999999,5.0,6.0
Kia,2021,4842,88.8,-13.399999999999999,4.0,5.0
Kia,2022,3285,57.1,-13.399999999999999,6.0,4.0
Kia,2023,1366,51.5,-13.399999999999999,6.0,6.0
Lexus,2022,387,6.7,,17.0,
Lexus,2023,366,13.799999999999999,,17.0,17.0
Lincoln,2022,236,4.1000000000000005,,20.0,
Lincoln,2023,64,2.4,,20.0,20.0
MINI,2019,61,1.8,15.7,15.0,
MINI,2020,389,10.0,15.7,12.0,15.0
MINI,2021,617,11.299999999999999,15.7,11.0,12.0
MINI,2022,1010,17.5,15.7,14.0,11.0
MINI,2023,220,8.3,15.7,18.0,14.0
Mazda,2021,79,1.4,,15.0,
Mazda,2022,781,13.6,,15.0,15.0
Mazda,2023,135,5.1000000000000005,,19.0,15.0
Mitsubishi,2019,2650,78.8,-51.5,5.0,
Mitsubishi,2020,2421,62.0,-51.5,6.0,5.0
Mitsubishi,2021,1972,36.2,-51.5,7.0,6.0
Mitsubishi,2022,1570,27.3,-51.5,10.0,7.0
Mitsubishi,2023,2705,102.0,-51.5,5.0,10.0
Nissan,2019,2222,66.10000000000001,-40.60000000000001,7.0,
Nissan,2020,1498,38.4,-40.60000000000001,7.0,7.0
Nissan,2021,1341,24.6,-40.60000000000001,8.0,7.0
Nissan,2022,1467,25.5,-40.60000000000001,11.0,8.0
Nissan,2023,968,36.5,-40.60000000000001,9.0,11.0
Polestar,2022,1301,22.599999999999998,,13.0,
Polestar,2023,724,27.3,,11.0,13.0
Subaru,2020,244,6.3,,13.0,
Subaru,2021,360,6.6,,13.0,13.0
Subaru,2022,338,5.8999999999999995,,19.0,13.0
Subaru,2023,479,18.1,,16.0,19.0
Tesla,2019,8533,253.9,-64.30000000000001,1.0,
Tesla,2020,10935,280.2,-64.30000000000001,1.0,1.0
Tesla,2021,15841,290.6,-64.30000000000001,1.0,1.0
Tesla,2022,10915,189.6,-64.30000000000001,2.0,1.0
Tesla,2023,4180,157.70000000000002,-64.30000000000001,1.0,2.0
Toyota,2019,5346,159.1,-81.89999999999999,2.0,
Toyota,2020,5592,143.3,-81.89999999999999,3.0,2.0
Toyota,2021,9173,168.3,-81.89999999999999,3.0,3.0
Toyota,2022,4442,77.2,-81.89999999999999,5.0,3.0
Toyota,2023,3102,117.0,-81.89999999999999,4.0,5.0
Volkswagen,2019,839,25.0,6.699999999999999,9.0,
Volkswagen,2020,1033,26.5,6.699999999999999,9.0,9.0
Volkswagen,2021,943,17.3,6.699999999999999,10.0,9.0
Volkswagen,2022,1824,31.7,6.699999999999999,9.0,10.0
Volkswagen,2023,1342,50.6,6.699999999999999,7.0,9.0
Volvo,2022,386,6.7,,18.0,
Volvo,2023,770,29.0,,10.0,18.0
smart,2019,176,5.2,,12.0,
smart,2020,11,0.3,,15.0,12.0
smart,2021,11,0.2,,16.0,15.0
