Vehicle_Make_and_Model,Calendar_Year,count,per_1K,prop_num_change,rank,previous_rank
Audi A3 Sportback e-tron,2019,67,2.0,,21.0,
Audi Q4 e-tron Quattro,2022,446,7.7,,24.0,
Audi Q4 e-tron Quattro,2023,621,23.400000000000002,,13.0,24.0
BMW 330e,2020,14,0.4,,24.0,
BMW 330e,2021,324,5.8999999999999995,,23.0,24.0
BMW 330e,2022,692,12.0,,22.0,23.0
BMW 330e,2023,155,5.8,,30.0,22.0
BMW X3,2022,322,5.6,,31.0,
BMW X3,2023,7,0.3,,41.0,31.0
BMW i3,2019,157,4.7,-3.7,17.0,
BMW i3,2020,104,2.7,-3.7,20.0,17.0
BMW i3,2021,123,2.3,-3.7,27.0,20.0
BMW i3,2022,59,1.0,-3.7,39.0,27.0
BMW i4,2022,263,4.6,,33.0,
BMW i4,2023,343,12.9,,20.0,33.0
Chevrolet Bolt,2019,3571,106.2,-84.1,3.0,
Chevrolet Bolt,2020,3864,99.0,-84.1,4.0,3.0
Chevrolet Bolt,2021,3653,67.0,-84.1,5.0,4.0
Chevrolet Bolt,2022,1271,22.1,-84.1,17.0,5.0
Chevrolet Bolt,2023,41,1.5,-84.1,37.0,17.0
Chevrolet Bolt EUV,2021,1108,20.299999999999997,,14.0,
Chevrolet Bolt EUV,2022,3168,55.0,,4.0,14.0
Chevrolet Bolt EUV,2023,2710,102.2,,2.0,4.0
Chevrolet Bolt EV,2022,1237,21.5,,18.0,
Chevrolet Bolt EV,2023,724,27.3,,11.0,18.0
Chevrolet Volt,2019,1195,35.6,,8.0,
Chevrolet Volt,2020,22,0.6,,22.0,8.0
Chevrolet Volt,2021,4,0.1,,31.0,22.0
Chrysler Pacifica Hybrid,2019,323,9.6,24.799999999999997,15.0,
Chrysler Pacifica Hybrid,2020,597,15.299999999999999,24.799999999999997,16.0,15.0
Chrysler Pacifica Hybrid,2021,981,18.0,24.799999999999997,15.0,16.0
Chrysler Pacifica Hybrid,2022,1982,34.4,24.799999999999997,8.0,15.0
Chrysler Pacifica Hybrid,2023,484,18.3,24.799999999999997,15.0,8.0
Ford Escape PHEV,2020,9,0.2,,26.0,
Ford Escape PHEV,2021,1441,26.4,,8.0,26.0
Ford Escape PHEV,2022,2920,50.7,,5.0,8.0
Ford Escape PHEV,2023,343,12.9,,20.0,5.0
Ford Focus,2019,108,3.2,-3.2,20.0,
Ford Focus,2020,1,0.0,-3.2,27.0,20.0
Ford Focus,2021,1,0.0,-3.2,34.0,27.0
Ford Focus,2022,1,0.0,-3.2,48.0,34.0
Ford Fusion Energi,2019,1195,35.6,-35.1,8.0,
Ford Fusion Energi,2020,1167,29.9,-35.1,8.0,8.0
Ford Fusion Energi,2021,668,12.3,-35.1,17.0,8.0
Ford Fusion Energi,2022,26,0.5,-35.1,43.0,17.0
Ford Fusion Energi,2023,1,0.0,-35.1,47.0,43.0
Ford Mach E,2022,1882,32.7,,9.0,
Ford Mach E,2023,230,8.7,,28.0,9.0
Honda Clarity Plug-in Hybrid,2019,590,17.6,-17.3,13.0,
Honda Clarity Plug-in Hybrid,2020,676,17.3,-17.3,15.0,13.0
Honda Clarity Plug-in Hybrid,2021,244,4.5,-17.3,24.0,15.0
Honda Clarity Plug-in Hybrid,2022,19,0.3,-17.3,44.0,24.0
Honda Clarity Plug-in Hybrid,2023,1,0.0,-17.3,47.0,44.0
Hyundai IONIQ 5,2021,86,1.6,,28.0,
Hyundai IONIQ 5,2022,4799,83.4,,3.0,28.0
Hyundai IONIQ 5,2023,1358,51.2,,6.0,3.0
Hyundai IONIQ 6,2023,18,0.7,,39.0,
Hyundai Ioniq PHEV,2019,114,3.4,-0.8999999999999999,19.0,
Hyundai Ioniq PHEV,2020,1152,29.5,-0.8999999999999999,9.0,19.0
Hyundai Ioniq PHEV,2021,1308,24.0,-0.8999999999999999,11.0,9.0
Hyundai Ioniq PHEV,2022,144,2.5,-0.8999999999999999,35.0,11.0
Hyundai Ioniq PHEV,2023,2,0.1,-0.8999999999999999,44.0,35.0
Hyundai Ioniq electric,2019,2053,61.1,-60.5,6.0,
Hyundai Ioniq electric,2020,1859,47.6,-60.5,6.0,6.0
Hyundai Ioniq electric,2021,1414,25.9,-60.5,9.0,6.0
Hyundai Ioniq electric,2022,34,0.6,-60.5,42.0,9.0
Hyundai Kona Electric,2019,1989,59.2,33.69999999999999,7.0,
Hyundai Kona Electric,2020,4574,117.2,33.69999999999999,3.0,7.0
Hyundai Kona Electric,2021,6898,126.5,33.69999999999999,2.0,3.0
Hyundai Kona Electric,2022,5345,92.89999999999999,33.69999999999999,2.0,2.0
Hyundai Kona Electric,2023,1676,63.2,33.69999999999999,5.0,2.0
Hyundai Santa Fe PHEV,2021,672,12.3,,16.0,
Hyundai Santa Fe PHEV,2022,867,15.100000000000001,,19.0,16.0
Hyundai Santa Fe PHEV,2023,86,3.2,,33.0,19.0
Hyundai Sonata PHEV,2019,52,1.5,,23.0,
Hyundai Sonata PHEV,2020,54,1.4,,21.0,23.0
Hyundai Sonata PHEV,2021,3,0.1,,33.0,21.0
Hyundai Tucson PHEV,2021,407,7.5,,20.0,
Hyundai Tucson PHEV,2022,1549,26.9,,12.0,20.0
